SpeciesCode,AreaRange_km2,nHUCs,Prop_CONUS,AreaHab_km2,PropHab_CONUS,ScientificName,CommonName,LogAreaRange,LogAreaHabitat
aGGSAx,23137.756798155297,258,0.002855267195703536,9787.5036,0.0012082312133122942,Batrachoseps gregarius,Gregarious Salamander,4.364321251875619,3.9906719348064694
aGHFRx,153382.18902455425,1084,0.01892781294865736,87294.4074,0.010776172564399333,Eleutherodactylus planirostris,Greenhouse Frog,5.185774931598306,4.9409864211039585
aGMSSx,18796.956697884998,199,0.0023195997047911693,10261.7856,0.0012667795765856607,Batrachoseps gavilanensis,Gabilan Mountains Slender Salamander,4.274087540949695,4.011222936677813
aGOFRx,380207.150106714,3628,0.04691867983322315,27206.4645,0.0033585376778582088,Lithobates capito,Gopher Frog,5.580020279869489,4.434672108560252
aGPTOx,2350087.99116538,23475,0.29000776552056723,1702254.4856999998,0.21013703664166278,Anaxyrus cognatus,Great Plains Toad,6.371084123276916,6.231024487284037
aGRFRx,3281083.5753519703,34301,0.40489535700414414,617980.5747,0.07628742221593766,Lithobates clamitans,Green Frog,6.516017292821863,5.790974823902426
aGRSAx,167758.45456650885,1780,0.020701886371450824,38638.8063,0.00476981809915122,Aneides aeneus,Green Salamander,5.224684416644645,4.5870237009388255
aGRSIx,445304.54619987943,4331,0.05495188984627652,60717.4236,0.007495341956801378,Siren lacertina,Greater Siren,5.648657128949869,4.783313335021117
aGRTOx,844171.324670593,7815,0.10417322266425205,513110.97719999996,0.06334165726858204,Anaxyrus debilis,Green Toad,5.926430595687567,5.710211305800175
aGRTRx,1439828.374939225,13584,0.17767905343074855,216868.6008,0.0267716287403382,Hyla cinerea,Green Treefrog,6.158310728026538,5.336196677480191
aGSALx,101690.42381245377,1078,0.012548897188341004,1011.366,0.00012484940177011038,Eurycea spelaea,Grotto Salamander,5.007280057335488,3.0049083494739204
aGSSAx,36754.97468162889,280,0.0045356719064371855,12829.1904,0.0015837162279875368,Batrachoseps major,Garden Slender Salamander,4.565316127925434,4.108199250614483
aGUWAx,407743.06287002674,4088,0.05031669240214727,12151.0818,0.001500006222860642,Necturus beyeri,Gulf Coast Waterdog,5.610386580913058,4.084614944506848
aGYTRx,2157735.7669711118,22490,0.26627093569070687,470953.8261,0.058137512483047285,Hyla versicolor,Gray Treefrog,6.333998260563549,5.672978329521718
aHELLa,397974.08492268546,4374,0.04911117181033179,10771.6779,0.001329723900027605,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,5.599854792823664,4.032283358446856
aHELLb,14689.6859684345,151,0.0018127504246306862,425.0763,5.2474101128228526e-05,Cryptobranchus alleganiensis bishopi,Ozark Hellbender,4.167012511676315,2.6284668916851865
aHELLx,412585.4747619619,4524,0.05091426026249531,11195.0334,0.001381985574743866,Cryptobranchus alleganiensis,Hellbender,5.615513934393873,4.049025393619744
aHHSSx,10193.363687665804,122,0.0012578910395318976,511.2144,6.310753180971668e-05,Batrachoseps diabolicus,Hell Hollow Slender Salamander,4.008317519623428,2.7086030786254196
aHOTOx,24316.641349054695,225,0.0030007450142781143,3684.7143,0.0004548643874213401,Anaxyrus houstonensis,Houston Toad,4.385903589338256,3.5664038198087358
aHUSPx,517651.755350895,4923,0.06387974809941827,189300.024,0.02336838963487752,Scaphiopus hurterii,Hurter's Spadefoot,5.714037691037046,5.2771506690249
aIGSAx,64044.016330257684,741,0.007903219854202349,18426.1806,0.002274644020876729,Dicamptodon aterrimus,Idaho Giant Salamander,4.806478559589765,4.26543532348573
aILGRx,37088.799390472166,375,0.004576866856690595,7407.6462,0.0009144465965779268,Pseudacris illinoensis,Illinois Chorus Frog,4.56924277491577,3.869680231630547
aIMSAx,3698.8903620622987,43,0.00045645394250761937,115.4898,1.4256789768046082e-05,Desmognathus imitator,Imitator Salamander,3.5680714586857594,2.0625436292556207
aINSAx,1120.1632661329,11,0.00013823143943998906,254.20319999999998,3.138044728421533e-05,Batrachoseps campi,Inyo Mountains Salamander,3.0492813266103878,2.4051810133053015
aJESAx,550740.0000211813,6441,0.06796293474515279,27467.6724,0.003390782829517081,Ambystoma jeffersonianum,Jefferson Salamander,5.74094662025758,4.438821859032321
aJMSAx,6037.501987275602,59,0.0007450454907382086,2396.8359,0.00029588054992566896,Plethodon neomexicanus,Jemez Mountains Salamander,3.7808572867099097,3.379638300965608
aJPSAx,2178.9082161154006,19,0.0002688836781454642,65.7774,8.119977377124857e-06,Eurycea tonkawae,Jollyville Plateau Salamander,3.3382389364995135,1.8180767030175835
aJUSAx,4881.117438855498,54,0.0006023442386018904,537.5205,6.635492281149517e-05,Eurycea junaluska,Junaluska Salamander,3.688519256833603,2.7303950320613257
aKCSSx,912.2814268131,12,0.00011257820945878099,685.9755,8.468114491089512e-05,Batrachoseps simatus,Kern Canyon Slender Salamander,2.9601288331289575,2.8363086049125608
aKPSAx,4937.181490537098,37,0.0006092627073636272,705.7953,8.71278261056389e-05,Batrachoseps robustus,Kern Plateau Salamander,3.6934790921557363,2.848678761999494
aKRSSx,3656.7077229936995,44,0.00045124848086276466,2153.0142,0.0002657816605190928,Batrachoseps regius,Kings River Slender Salamander,3.563090248999856,3.3330468941808054
